Experiment,Algorithm,Goodput (Mbps),Packet Loss Rate (%),Max Window Size (Bytes)
a,bbr,95.91,0.57,43440
a,highspeed,82.35,17.06,43440
a,yeah,67.82,1.44,43440
b,bbr,100.12,0.46,43440
b,highspeed,113.80,0.58,43440
b,yeah,112.73,1.08,43440
c_2a,bbr,172.29,3.45,43440
c_2a,highspeed,85.16,2.16,43440
c_2a,yeah,0.00,0.00,42340
c_2b,bbr,155.75,1.60,43440
c_2b,highspeed,77.27,2.32,43440
c_2b,yeah,78.14,1.88,43440
c_2c,bbr,148.22,1.02,43440
c_2c,highspeed,87.50,1.47,43440
c_2c,yeah,76.84,1.71,43440
c,bbr,74.88,2.26,43440
c,highspeed,108.08,5.49,43440
c,yeah,100.36,0.97,43440
d_2a_loss_bbr,loss1,178.24,0.66,43440
d_2a_loss_bbr,loss5,147.11,1.12,43440
d_2a_loss_highspeed,loss1,75.46,0.99,43440
d_2a_loss_highspeed,loss5,69.03,1.37,43440
d_2a_loss_yeah,loss1,73.07,1.16,43440
d_2a_loss_yeah,loss5,79.48,1.35,43440
d_2b_loss_bbr,loss1,224.57,1.13,43440
d_2b_loss_bbr,loss5,173.52,0.70,43440
d_2b_loss_highspeed,loss1,151.99,1.43,43440
d_2b_loss_highspeed,loss5,98.87,0.40,43440
d_2b_loss_yeah,loss1,68.32,1.30,43440
d_2b_loss_yeah,loss5,91.32,0.53,43440
d_2c_loss_bbr,loss1,132.11,1.48,43440
d_2c_loss_bbr,loss5,133.39,1.01,43440
d_2c_loss_highspeed,loss1,63.26,1.77,43440
d_2c_loss_highspeed,loss5,74.61,1.45,43440
d_2c_loss_yeah,loss1,0.00,4.26,42340
d_2c_loss_yeah,loss5,0.00,0.00,42340
d_bbr,loss1,72.64,2.52,43440
d_bbr,loss5,104.78,1.17,43440
d_highspeed,loss1,80.38,6.12,43440
d_highspeed,loss5,78.20,7.03,43440
d_yeah,loss1,59.81,2.30,43440
d_yeah,loss5,51.84,2.73,43440
